,Player Id,Full Name,Age,Years Pro,Position,Factor,NBA Salary
190,12,Al-Farouq Aminu,28.8,9,F,22.854613095238097,6957105
191,28,D.J. Augustin,31.7,11,G,-6.929315476190473,7250000
192,95,Michael Carter-Williams,27.8,6,G,-47.37034632034632,1512601
193,177,Evan Fournier,26.7,7,G-F,-67.19045454545453,17000000
194,195,Aaron Gordon,23.8,5,F,-30.758181818181807,21590909
195,201,Jerian Grant,26.8,4,G,-13.560550458715598,2639314
196,339,Jarell Martin,25.2,4,F,-41.53553921568628,2416222
197,457,Terrence Ross,28.4,7,G-F,51.41601049868767,10500000
198,534,Nikola Vucevic,28.7,8,C,-3.05824742268042,12750000
199,159,Joel Embiid,25.3,5,F-C,2.316666666666661,25467250
200,222,Tobias Harris,27.0,8,F,45.31428571428571,14800000
201,248,Al Horford,33.1,12,C-F,76.8132743362832,28928709
202,263,Demetrius Jackson,24.9,2,G,-18.0037037037037,92857
203,271,Amir Johnson,32.2,14,C-F,50.86296296296296,2393887
204,337,Boban Marjanovic,30.9,4,C,15.943333333333332,7000000
205,348,T.J. McConnell,27.3,4,G,-77.88333333333333,1600520
206,369,Greg Monroe,29.1,9,C,0.2634259259259221,1512601
207,390,Raul Neto,27.2,4,G,35.45321637426901,2150000
208,400,Kyle O'Quinn,29.3,7,C,-1.9940366972477046,4449000
209,446,Josh Richardson,25.8,4,G-F,30.03036723163841,9367200
210,447,Malachi Richardson,23.5,2,G,-20.547435897435896,1569360
211,474,Mike Scott,31.0,7,F,23.772607260726073,4320500
212,481,Ben Simmons,23.0,3,G-F,0.0,6434520
213,482,Jonathon Simmons,29.8,4,F,48.915087719298256,6000000
214,42,Aron Baynes,32.6,7,C-F,-1.6334757834757787,5193600
215,50,Dragan Bender,21.7,3,F,6.087499999999999,4661280
216,64,Devin Booker,22.7,4,F,-126.72787878787886,3314365
217,277,Tyler Johnson,27.2,5,G,-16.482092198581558,19245370
218,290,Frank Kaminsky,26.3,4,F-C,3.729378531073446,3627842
219,299,Kyle Korver,38.3,16,G-F,122.45583333333333,7560000
220,407,Kelly Oubre Jr.,23.6,4,F,-2.969047619047616,3208630
221,459,Ricky Rubio,28.7,8,G,21.625404530744326,14975000
222,468,Dario Saric,25.3,3,F,-141.8885057471264,2526840
223,44,Kent Bazemore,30.0,7,G,13.257183908045983,18089887
224,232,Mario Hezonja,24.4,4,F,-17.27956521739131,6500000
225,247,Rodney Hood,26.7,5,G,73.10788690476188,3472887
226,302,Skal Labissiere,23.3,3,F,-37.88777777777777,1544951
227,310,Jake Layman,25.4,3,F,16.46989247311828,1544951
228,319,Damian Lillard,29.0,7,G,3.39703389830509,27977689
229,398,Jusuf Nurkic,24.9,5,C,-18.03008130081301,11111111
230,517,Anthony Tolliver,34.1,11,F,12.74204204204204,4750000
231,546,Hassan Whiteside,30.1,7,C,23.00336134453781,25434262
232,23,Trevor Ariza,34.0,15,F,13.935632183908053,15000000
233,36,Harrison Barnes,27.1,7,F,105.72472222222225,24107258
234,55,Nemanja Bjelica,31.2,4,F,5.636574074074076,6500000
235,131,Dewayne Dedmon,29.9,6,C,24.015384615384612,7200000
236,236,Buddy Hield,26.6,3,G,-93.59195402298853,3844760
237,246,Richaun Holmes,25.8,4,F,-29.984684684684677,1600520
238,287,Cory Joseph,27.9,8,G,59.352255639097784,7945000
239,300,Kosta Koufos,30.4,11,C,-37.5302752293578,8739500
240,598,Yogi Ferrell,26.2,3,G,-37.30614035087719,3000000
241,8,LaMarcus Aldridge,34.0,13,C-F,164.36824712643673,22347015
242,48,Marco Belinelli,33.3,12,G-F,-30.025714285714287,6153846
243,93,DeMarre Carroll,33.0,10,F,24.154844961240304,15400000
244,122,Dante Cunningham,32.2,10,F,-69.96220238095239,2487000
245,136,DeMar DeRozan,29.9,10,G,46.65977443609018,27739975
246,176,Bryn Forbes,26.0,3,G,-11.851666666666665,3125000
247,186,Rudy Gay,32.9,13,F,-0.8955974842767301,10087200
248,331,Trey Lyles,23.7,4,F,6.658702064896755,3364249
249,365,Patty Mills,30.9,10,G,97.93633879781423,11571429
250,428,Jakob Poeltl,23.8,3,C,4.511111111111112,2947320
251,429,Quincy Pondexter,31.4,9,F,0.0,1512601
252,76,Lorenzo Brown,28.9,4,G,-24.953333333333337,1512601
253,184,Marc Gasol,34.5,11,C,57.296787148594376,24119025
254,245,Rondae Hollis-Jefferson,24.5,4,F,-69.15057471264367,2470357
255,255,Serge Ibaka,29.8,10,C-F,148.15538057742788,21666667
256,276,Stanley Johnson,23.1,4,F,-15.153508771929818,3940402
257,320,Jeremy Lin,30.9,9,G,38.90676567656766,13766421
258,327,Kyle Lowry,33.3,13,G,155.58333333333334,31200000
259,434,Norman Powell,26.1,4,F-G,31.118915343915344,9367200
260,479,Pascal Siakam,25.4,3,F,21.569444444444446,1544951
261,527,Fred VanVleet,25.4,3,G,19.652,8653847
262,60,Bojan Bogdanovic,30.2,5,F,-108.53590909090912,10500000
263,114,Mike Conley,31.8,12,G,58.8213058419244,30521115
264,164,Dante Exum,24.0,5,G,-67.50111111111111,9600000
265,192,Rudy Gobert,27.1,6,C,105.66766666666665,23241573
266,258,Joe Ingles,31.8,5,F,17.60560471976401,13045455
267,391,Georges Niang,26.1,3,F,1.5777777777777773,1512601
268,475,Thabo Sefolosha,35.2,13,F,-7.559604519774009,5250000
269,45,Bradley Beal,26.1,7,G,5.155813953488368,25434263
270,52,Davis Bertans,26.7,3,F,8.760119047619048,7000000
271,132,Sam Dekker,25.2,4,F,21.09248366013072,2760095
272,207,Jeff Green,32.9,11,F,-17.98974358974359,1512601
273,278,Wesley Johnson,32.0,9,F-G,26.419819819819814,6134520
274,334,Ian Mahinmi,32.7,12,C,49.30053763440861,15944154
275,488,Ish Smith,31.0,9,G,-78.98423423423422,6000000
276,510,Isaiah Thomas,30.4,8,G,85.71822033898304,2029463
277,539,John Wall,28.9,9,G,61.800158730158735,19169800
